fetch_date,uid,username,rank,guard_level,accompany,face,medal_name,medal_level,ruid
2026-01-26,3968592,真心懒得想,82,3,1029,https://i0.hdslb.com/bfs/face/55a25c1ca4607b7a961c2518f42c75f9c6055132.gif,帅Pi,35,13046
2026-01-26,7162837,北斗跑得快丶,83,3,1810,https://i1.hdslb.com/bfs/face/f79fd9f1dcf748f79ab3312029c69c257068ba6e.jpg,帅Pi,35,13046
2026-01-26,101232725,丶独木,84,3,1748,https://i2.hdslb.com/bfs/face/572a58787e2ac850480768758856b47d4cf680d5.jpg,帅Pi,35,13046
2026-01-26,784166,苍之刃,85,3,1808,https://i2.hdslb.com/bfs/face/c483d1e0e685d6a970ed2a020551dce0bb8bef00.jpg,帅Pi,35,13046
2026-01-26,4727377,绯村苍曜,86,3,1895,https://i1.hdslb.com/bfs/face/b6148805f1af8102a9322ab59c0637f07f045b98.jpg,帅Pi,35,13046
2026-01-26,2456141,没有声音的音无,87,3,1894,http://i2.hdslb.com/bfs/face/aa9d6648793480d2eb00803285544386bb51bd31.jpg,帅Pi,35,13046
2026-01-26,473165,欧沫汐洛伊,88,3,1394,https://i2.hdslb.com/bfs/face/3db5c5d57a0cb3bbf8d855949fee17449bb660bb.gif,帅Pi,35,13046
2026-01-26,8733972,奈何桥畔的彼岸花,89,3,1841,https://i0.hdslb.com/bfs/face/fc3353af6f5999fabf74288c730b4e6682cb4c99.jpg,帅Pi,35,13046
2026-01-26,1726557,Edo节操君,90,3,1568,https://i0.hdslb.com/bfs/face/1acc35e3cc985b75993936c05a3b14b0f667ee9d.jpg,帅Pi,35,13046
2026-01-26,8104193,划水大船长,91,3,1924,https://i2.hdslb.com/bfs/face/7f810c58d027de1e9d6e9104853ac174f3d6b49a.jpg,帅Pi,35,13046
2026-01-26,1580251,不可丶丶理喻,92,3,1793,https://i1.hdslb.com/bfs/face/50f69bf0bd76e89fe05fbf11d1be129e858e928d.jpg,帅Pi,35,13046
2026-01-26,1851179,Y烂朱古力,93,3,1542,https://i2.hdslb.com/bfs/face/0faf7e11ce3f460af9ea04a7bb58f56131c25d5b.jpg,帅Pi,35,13046
2026-01-26,19134865,带刺的落叶,94,3,1440,https://i1.hdslb.com/bfs/face/44e1f09276df48a10629debeb1eaf9cc1ecb466a.jpg,帅Pi,35,13046
2026-01-26,198474726,蝴蝶效应OvO,95,3,1323,https://i0.hdslb.com/bfs/face/17b2b2d62d843edb10199701676517961991145a.jpg,帅Pi,35,13046
2026-01-26,559246,copperlyt,96,3,1781,https://i1.hdslb.com/bfs/face/59a62232e3146cbd1261cdc53431745115f99fca.jpg,帅Pi,35,13046
2026-01-26,5791923,碇沛沛,97,3,1887,https://i0.hdslb.com/bfs/face/6a8206fbdc0cfebc12e410a4faa160f6e21290eb.jpg,帅Pi,35,13046
2026-01-26,260549,天空游荡,98,3,1805,https://i2.hdslb.com/bfs/face/852188929290e80e199860adba0b2d641c00c8a7.jpg,帅Pi,35,13046
